Latitude,Longitude,Sport,LGA Name,Facility Name
-37.851683,145.180228,AFL,,Vermont South Club
-37.851683,145.180228,Cricket,,Vermont South Club
-37.851683,145.180228,Netball,,Vermont South Club
-37.851683,145.180228,Tennis,,Vermont South Club
-36.475264,147.020525,AFL,Alpine Shire Council ,Dederang Recreation reserve
-36.739256,147.172162,AFL,Alpine Shire Council ,Mount Beauty recreation Reserve
-36.737199,146.973353,AFL,Alpine Shire Council,Pioneer Park Recreation Reserve
-36.567524,146.723777,AFL,Alpine Shire Council ,RC McNamara Reserve
-36.733294,146.963623,Basketball,Alpine Shire Council ,Bright Community Sports Stadium
-36.740988,147.168502,Basketball,Alpine Shire Council ,Mount Beauty Pool & Stadium
-36.552593,146.725872,Basketball,Alpine Shire Council ,Myrtleford Indoor Sports Complex
-36.765294,146.977687,Cricket,Alpine Shire Council ,Alpine Park Wandiligong
-36.733701,146.962508,Cricket,Alpine Shire Council ,Bright p-12 College
-36.475264,147.020525,Cricket,Alpine Shire Council ,Dederang Recreation reserve
-36.505019,146.676961,Cricket,Alpine Shire Council ,Gapsted Recreation reserve
-36.895455,147.059682,Cricket,Alpine Shire Council ,Harrietville Recreation reserve
-36.552593,146.725872,Cricket,Alpine Shire Council ,Marian College
-36.555836,146.723887,Cricket,Alpine Shire Council ,Memorial Park
-36.739256,147.172162,Cricket,Alpine Shire Council ,Mount Beauty recreation Reserve
-36.54996,146.724992,Cricket,Alpine Shire Council ,Mummery Road Oval
-36.737199,146.973353,Cricket,Alpine Shire Council,Pioneer Park Recreation Reserve
-36.567524,146.723777,Cricket,Alpine Shire Council ,RC McNamara Reserve
-36.475264,147.020525,Netball,Alpine Shire Council ,Dederang Recreation reserve
-36.739256,147.172162,Netball,Alpine Shire Council ,Mount Beauty recreation Reserve
-36.733701,146.962508,Soccer,Alpine Shire Council ,Bright p-12 College
-36.740988,147.168502,Soccer,Alpine Shire Council ,Lakeside Football Reserve
-36.553518,146.715794,Soccer,Alpine Shire Council ,Myrtleford Savoy Sports Club
-36.475264,147.020525,Tennis,Alpine Shire Council ,Dederang Recreation reserve
-36.422159,147.061754,Tennis,Alpine Shire Council ,Gundowring Recreation reserve
-36.562971,146.724982,Tennis,Alpine Shire Council ,Jubilee Park & Swimming Pool
-36.739256,147.172162,Tennis,Alpine Shire Council ,Mount Beauty recreation Reserve
-36.737199,146.973353,Tennis,Alpine Shire Council,Pioneer Park Recreation Reserve
-36.698109,146.910729,Tennis,Alpine Shire Council ,Porepunkah Recreation Reserve
-36.567524,146.723777,Tennis,Alpine Shire Council ,RC McNamara Reserve
-37.279414,142.927461,AFL,Ararat Rural City Council,Alexandra Oval Reserve
-37.290964,142.944466,AFL,Ararat Rural City Council,Gordon Street Recreation Reserve
-37.718696,142.842711,AFL,Ararat Rural City Council,Lake Bolac Recreation Reserve
-37.439012,142.860913,AFL,Ararat Rural City Council,Maroona Recreation Reserve
-37.602218,142.963743,AFL,Ararat Rural City Council,Mininera Recreation Reserve
