Age group,2025Rate,Frequency,2024Rate
 15-17,66.6%,1+ per week,72.6%
 15-17,56.4%,2+ per week,58.3%
 15-17,47.3%,3+ per week,48.5%
 15-17,40.3%,4+ per week,43.2%
 15-17,36.5%,5+ per week,34.0%
 15-17,31.8%,6+ per week,27.3%
 15-17,25.7%,7+ per week,22.9%
,,,
 18-24,68.6%,1+ per week,69.5%
 18-24,57.8%,2+ per week,58.6%
 18-24,46.8%,3+ per week,49.4%
 18-24,38.9%,4+ per week,40.0%
 18-24,32.1%,5+ per week,32.8%
 18-24,25.4%,6+ per week,24.4%
 18-24,19.5%,7+ per week,18.9%
,,,
 25-34,71.9%,1+ per week,70.9%
 25-34,62.0%,2+ per week,59.2%
 25-34,52.9%,3+ per week,49.9%
 25-34,42.9%,4+ per week,40.1%
 25-34,34.6%,5+ per week,32.4%
 25-34,26.4%,6+ per week,25.1%
 25-34,21.6%,7+ per week,19.5%
,,,
 35-44,69.9%,1+ per week,68.7%
 35-44,59.1%,2+ per week,57.3%
 35-44,48.4%,3+ per week,47.2%
 35-44,38.2%,4+ per week,37.5%
 35-44,31.6%,5+ per week,29.6%
 35-44,24.4%,6+ per week,22.5%
 35-44,19.3%,7+ per week,17.5%
,,,
 45-54,74.1%,1+ per week,71.1%
 45-54,64.6%,2+ per week,60.2%
 45-54,55.5%,3+ per week,52.0%
 45-54,46.4%,4+ per week,43.4%
 45-54,38.8%,5+ per week,36.2%
 45-54,29.7%,6+ per week,28.1%
 45-54,22.1%,7+ per week,20.9%
,,,
 55-64,76.4%,1+ per week,71.9%
 55-64,67.4%,2+ per week,63.5%
 55-64,60.0%,3+ per week,56.0%
 55-64,50.4%,4+ per week,47.1%
 55-64,42.8%,5+ per week,38.9%
 55-64,32.1%,6+ per week,28.8%
 55-64,24.8%,7+ per week,21.9%
,,,
 65+,65.4%,1+ per week,64.0%
 65+,57.4%,2+ per week,56.3%
 65+,49.0%,3+ per week,46.4%
 65+,40.6%,4+ per week,37.4%
 65+,34.6%,5+ per week,31.4%
 65+,25.6%,6+ per week,24.6%
 65+,18.8%,7+ per week,17.3%
